,Artist,Total Followers
240,"Earth, Wind & Fire",2308093
241,Ava Max,1485429
242,Rammstein,4158323
243,"Crosby, Stills, Nash & Young",851096
244,Bruce Hornsby,195088
245,Twarres,12451
246,Nazareth,671260
247,James Blunt,2155342
248,Dynoro,183794
249,Metallica,13717924
250,Stevie Ray Vaughan,1508193
251,Mink DeVille,21277
252,Scorpions,3301000
253,Dr. Dre,4864496
254,Depeche Mode,2974076
255,3 Doors Down,2651583
256,Jan Smit,115688
257,Adele,20908216
258,Delerium,55273
259,Lionel Richie,1641797
260,P!nk,8430909
261,Cashan,602
262,Louis Armstrong,1967555
263,Jackboy,71888
264,Effe Blue Eyes,2016
265,Drake,46095758
266,Rick Astley,535862
267,The Orion Experience,14116
268,The Communards,163011
269,Tenacious D,1094951
270,Snelle,245387
271,Crowded House,480065
272,The Boxer Rebellion,81354
273,Bill Withers,878036
274,Veldhuis & Kemper,34068
275,Deante' Hitchcock,22438
276,Pat Benatar,838568
277,Korn,3686855
278,Ten Sharp,8276
279,Keane,1862938
280,Katie Melua,320251
281,Current Joys,173671
282,Tina Turner,1774227
283,Kate Bush,576907
284,Red Hot Chili Peppers,13090201
285,Blackstreet,461878
286,Gotye,2180412
287,Muse,5689252
288,UB40,1436660
289,Men At Work,657002
290,Tom Jones,430180
291,Robin Thicke,1547595
292,Jeroen van Koningsbrugge,7501
293,Temple Of The Dog,677494
294,Foster The People,2855083
295,Level 42,358804
296,Robbie Williams,1839218
297,One Direction,15597954
298,Rhett and Link,80162
299,PRIME,164961
300,Van Morrison,1576913
301,André Hazes Jr.,219310
302,Youp van 't Hek,12231
303,Pixies,1514823
304,Sandy Coast,3617
305,Krezip,60306
306,Eminem,34387107
307,Fight the Fight,3193
308,Van Dik Hout,41147
309,Kings of Leon,4193109
310,Elvis Costello & The Attractions,154813
311,Alice In Chains,2620670
312,Govi,16629
313,TLE Cinco,13512
314,Ed Sheeran,62743762
315,Jason Aldean,3767550
316,Lisa Lois,12383
317,Famous Dex,1851922
318,Eurythmics,975238
319,Spandau Ballet,675553
320,PARTYNEXTDOOR,2301260
321,Don Henley,763255
322,2Pac,8127805
323,Bonnie Raitt,359030
324,Volbeat,1529945
325,B.B. King,1797435
326,Cyndi Lauper,1234368
327,Faith No More,1051881
328,The Smiths,2159162
329,Michel Sardou,261236
330,Justin Bieber,34416620
331,Gandalf,7803
332,Miles Davis,1770445
333,The Clash,1814073
334,Tröckener Kecks,4593
335,Waylon Jennings,712580
336,Manic Street Preachers,415410
337,Boudewijn de Groot,98842
338,Fedde Le Grand,284628
339,Alicia Keys,7418170
340,Lil Mosey,1955114
341,Sniff 'n' The Tears,11979
